[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=163 | session=moo_NSGA3_P0.01_C0.5_E15_S163_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=637 | session=moo_NSGA3_P0.01_C0.5_E15_S637_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=462 | session=moo_NSGA3_P0.01_C0.5_E15_S462_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=234 | session=moo_NSGA3_P0.01_C0.5_E15_S234_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=571 | session=moo_NSGA3_P0.01_C0.5_E15_S571_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=1644 | session=moo_NSGA3_P0.01_C0.5_E15_S1644_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=90 | session=moo_NSGA3_P0.01_C0.5_E15_S90_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=878 | session=moo_NSGA3_P0.01_C0.5_E15_S878_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=628 | session=moo_NSGA3_P0.01_C0.5_E15_S628_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=1065 | session=moo_NSGA3_P0.01_C0.5_E15_S1065_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=1594 | session=moo_NSGA3_P0.01_C0.5_E15_S1594_20250714_162522
